country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Portugal ,1302.183568,1269.322563,1265.744448,1273.055405,1278.940777,1232.925315,1230.566303,1249.34612,1219.22545,1208.090504,1227.906186,1241.617523,1256.539235,1250.334896,1257.525084,1227.788911,1233.655771,1212.489592,1149.675703,1173.227039,1229.225411,1289.902817,1429.873088,1473.40511,1401.269841,1446.064597,1419.080068,1647.598654,1470.312736,1610.0582,1570.754717,1631.096229,1642.507909,1732.102273,1783.920303,1668.652993,1522.792608,1757.301244,1747.32906,1748.977707,1615.114007,1746.938249,1708.280092,1806.357649,1892.682315,1803.558099,1927.866831,2070.512037,2046.26938,2056.549406,2086.405496,2167.662907,2161.376018,2297.950215,2393.392106,2474.748637,2564.070352,2658.871695,2672.314382,2794.047905,2955.835648,3119.186819,3330.450786,3504.118217,3718.3886,3992.397728,4163.995257,4481.160057,4873.368769,4986.58928,5472.899759,5870.785111,6355.422526,7062.984977,7047.690228,6517.204702,6814.197093,7165.669696,7339.99534,7733.306186,8044.243081,8114.452686,8279.604246,8254.659048,8088.808258,8305.992245,8641.006212,9185.107968,9867.738993,10371.91125,10826.39889,11303.51013,11416.68043,11138.3601,11178.69519,11613.61835,12000.97625,12460.15033,13012.74447,13465.66499,13922.21738,14127.25925,14170.93849,13980.06958,14138.59742,14191.46506,14343.1628,14631.41793,14583.48904,14118.34418,14279.04752
Spain ,1786.275988,1901.012916,1833.084948,1828.849305,1810.23622,1777.295772,1851.314972,1896.401028,1957.161093,1977.485929,1895.105247,2017.205162,1988.672496,2055.618615,2013.677812,2032.919406,2113.239491,2073.422709,2045.059666,2044.094638,2177.185381,2212.41418,2283.613834,2289.92539,2331.007295,2450.520366,2416.910916,2599.903284,2583.931758,2738.905644,2620.388142,2528.870116,2559.442608,2485.946439,2555.792846,2582.773913,1988.835147,1807.770635,1790.221132,1914.645139,2080.405327,2029.562339,2126.269956,2187.592375,2271.452207,2101.559585,2178.809418,2197.516806,2185.734592,2154.82261,2188.970566,2386.492902,2558.470494,2527.623818,2695.591422,2778.324925,2977.875423,3046.115401,3149.817572,3050.451888,3071.649933,3436.039484,3799.530401,4151.374137,4514.937244,4762.235585,5059.753682,5334.110597,5588.174071,6032.041152,6319.133697,6618.471395,7099.291775,7661.342131,8149.433297,8346.301907,8599.269157,8833.063476,9022.997022,9068.087985,9202.509792,9185.712621,9293.002637,9477.80292,9570.975429,9721.770575,9997.996257,10520.05182,11045.99566,11581.57655,12054.80858,12327.06172,12412.97867,12258.51197,12528.4742,13132.08999,13423.04352,13912.05806,14483.27403,15093.24859,15723.5687,16118.69693,16319.88388,16553.18715,16822.75066,17144.83906,17551.58552,17848.9431,17734.02915,16928.02262,16797.42747
Australia ,4013.36541,3838.735178,3822.597403,4076.232033,4294.728839,4281.968032,4507.385524,4616.428398,4693.114129,4980.59841,5209.828571,5103.777778,5098.476722,5156.813939,5026.758565,4896.600282,4878.304743,4791.111111,4601.550079,4715.578664,4765.584173,4910.822194,5063.688554,5192.030893,5417.425675,5553.087666,5572.559367,5543.794441,5451.77665,5262.976861,4708.301128,4353.608089,4563.76349,4842.406877,5059.862317,5317.587641,5515.848445,5745.651221,5886.326767,5845.561325,6166.139165,6788.230066,7505.452112,7702.832504,7362.02709,6916.898092,6594.932834,6664.39905,6967.459754,7236.792524,7411.576424,7507.343783,7417.837696,7505.25744,7790.585565,8027.412053,8108.324879,8090.238535,8305.474779,8628.438443,8790.908221,8653.137983,9026.798412,9399.914539,9848.904077,10151.85783,10241.28271,10732.74651,11148.30527,11560.99528,12023.54473,12289.52169,12404.41679,12878.09034,12985.12402,13169.83023,13558.83727,13546.37241,13768.65096,14319.54181,14411.83916,14660.33561,14411.81902,14238.92364,15062.41135,15638.35616,15757.16981,16293.30111,16752.2561,17194.4128,17172.68224,16743.32399,16988.87401,17478.18521,18145.56849,18529.55821,19075.08248,19612.09177,20377.94976,20970.89429,21377.82313,21662.02567,22236.93527,22666.27779,23322.00788,23764.61369,24097.57345,24911.57787,25218.30189,25255.63884,25584.48836
N. Zealand ,4298.141264,4223.497573,4438.492891,4727.484429,4570.421053,4850.001088,5157.678647,5339.520124,4834.912651,4770.454102,5316.307177,5493.846298,5209.252747,5152.406417,5189.244094,5173.794271,5120.314286,5008.192708,4910.849481,5282.721339,5641.249799,5128.087059,4841.144172,5144.479638,5142.948889,5291.581042,4904.842776,4682.730689,5140.875516,5262.242692,4960.121232,4475.120211,4327.231827,4575.999351,4767.835052,4959.372599,5839.802289,6101.559546,6462.177681,6459.654579,6300.441932,6128.782689,6761.547895,6927.995713,6867.995768,6928.295616,7161.341103,7846.33222,6929,7520.552646,8455.649239,7653.324528,7796.293753,7855.851667,8743.398132,8725.437325,9000.183171,9045.006138,9185.490633,9630.126609,9465.178818,9744.907398,9730.565992,10132.01645,10418.41085,10878.65475,11362.02117,10681.96397,10545.4875,11511.20674,11189.33541,11576.18335,11850.39773,12424.22217,12879.28329,12488.61377,12648.28527,11989.00439,12033.92507,12284.21103,12346.73438,12883.89396,12996.26982,13184.469,13666.46452,13664.25993,13879.67674,13891.40811,13815.82862,13869.15335,13687.46339,13374.22335,13373.42153,14031.54395,14551.04778,14909.24714,15144.36517,15407.10715,15477.08033,16202.02373,16518.11579,16933.89158,17485.54434,17880.94913,18298.02547,18705.72369,18926.94024,19268.63599,18875.36208,18843.11385,18886.1612
Canada,2911.266264,3096.776734,3330.924602,3333.628075,3279.564231,3561.817061,3846.20694,3874.850212,3572.06106,3849.597598,4065.761269,4212.537652,4377.130755,4446.765155,4025.284567,4232.888292,4646.114926,4800.580887,4440.594698,4019.343004,3861.476245,3357.010191,3793.14554,3975.957649,3977.019374,4340.275631,4497.05714,4846.996466,5171.589196,5065.4459,4810.6045,4003.692596,3671.452659,3370.406081,3691.029556,3950.625,4124.205995,4473.410458,4545.909535,4768.131374,5368.24538,6050.767304,7033.375888,7262.758564,7442.561135,7132.952596,6931.243312,7088.210526,7065.324127,7064.080481,7291.479766,7533.490223,7833.035205,7984.259099,7699.418882,8201.251112,8651.945715,8606.741597,8534.014767,8676.236851,8752.507628,8832.745004,9276.909344,9566.381691,9999.364316,10472.91669,10946.13511,11078.26999,11479.06409,11912.35222,12050.49052,12561.92569,13072.49433,13837.89534,14204.68902,14316.26252,14902.39184,15222.68074,15680.20036,16170.14528,16175.70639,16472.4498,15779.40552,16076.4133,16835.82473,17582.06895,17862.10397,18348.15459,18993.07673,19108.48707,18872.38851,18262.46377,18146.72469,18309.10769,18941.7684,19237.79771,19330.59662,19961.8229,20612.38735,21563.04068,22487.70819,22686.64559,23155.13657,23406.98027,23952.90863,24484.34465,24967.16721,25300.08386,25262.07114,24361.02142,24941.23563
USA,4090.787292,4463.863188,4420.630145,4550.894374,4409.532024,4642.163892,5079.124239,5064.890427,4560.615968,5017.495988,4963.735703,5045.683904,5200.698473,5300.729463,4799.201136,4864.192617,5458.6929,5247.736874,5658.984394,5680.406493,5552.327364,5322.733591,5539.843679,6164.199035,6232.550673,6282.418871,6602.442214,6576.498946,6569.345446,6898.722156,6212.712707,5691.366596,4908.36578,4776.915478,5113.607593,5466.837946,6203.883782,6430.121478,6126.465672,6560.752659,7009.637213,8205.683099,9741.105188,11518.17157,12333.44966,11708.64756,9196.542969,8885.994381,9064.562251,8943.744321,9561.34786,10116.24634,10315.54461,10612.608,10359.10836,10896.85472,10914.28216,10919.98674,10630.52801,11230.16926,11328.47552,11401.73443,11904.98451,12242.3405,12772.56643,13418.70172,14133.52666,14330.0304,14862.93883,15179.40862,15029.84609,15304.29883,15943.86744,16689.34307,16491.26974,16283.63268,16975.08657,17566.50275,18372.97212,18789.3937,18577.36665,18855.55487,18325.12026,18920.15639,20122.6671,20717.32296,21236.08546,21787.69367,22499.44162,23059.27819,23200.56031,22832.79005,23284.98188,23640.11258,24312.78896,24637.32986,25263.10165,26074.23942,26893.45086,27869.81203,28701.93432,28726.09432,28976.93019,29458.92251,30199.80086,30841.6455,31357.53959,31654.92675,31251.26649,29898.64422,30491.34438
Argentina ,2875.351525,2880.387159,2716.506638,2992.315232,3191.03975,3478.616847,3518.268346,3459.446651,3657.171148,3698.744592,3821.71049,3746.150714,3903.622867,3797.243378,3302.223462,3243.723181,3091.145833,2790.122292,3247.876144,3307.486119,3473.068669,3471.127329,3635.640028,3897.858787,4055.262175,3919.409547,3994.01844,4155.636662,4291.301697,4367.067703,4079.581957,3711.655441,3521.821986,3621.314863,3844.818097,3950.009064,3911.963942,4125.313665,4071.915168,4147.909463,4161.43383,4303.959694,4284.201059,4182.167772,4578.966537,4356.213147,4665.168191,5089.47231,5251.776208,5047.398128,4986.724458,5073.029915,4717.413859,4874.493824,4979.828648,5237.000075,5285.31468,5460.686494,5697.980988,5241.468063,5559.465947,5861.841649,5677.233225,5455.440482,5926.126658,6370.747338,6320.604235,6398.951785,6577.756622,7037.280383,7301.966217,7529.937018,7634.565559,7961.973879,8334.083602,8122.497305,7965.20183,8304.381424,7807.247683,8226.909848,8205.979887,7606.558514,7245.755199,7387.053452,7425.854256,6834.930882,7223.791941,7297.928854,7054.363064,6520.109296,6432.921661,6954.710722,7383.739587,7748.367729,8119.048972,7785.950334,8090.801274,8614.729624,8899.888248,8545.157891,8409.969914,7967.806307,7038.063218,7518.343329,7966.885575,8540.598227,9101.152747,9715.227196,9971.923685,9580.694777,10256.27514
Brazil ,678.4363879,729.9369291,714.7801086,713.9207508,712.7686731,718.1422787,770.3040094,755.2253116,734.1219547,776.2250621,768.7252431,835.6768193,809.1764503,810.989011,779.9346054,797.9249412,804.1830377,841.9089072,807.6644975,895.2487423,963.1075755,963.3522829,1009.074347,1045.595001,1023.920869,1007.38494,1008.302911,1059.803084,1158.187008,1137.441479,1048.230458,1004.232835,1018.36542,1075.715527,1142.319525,1149.986541,1235.103268,1249.903068,1275.987842,1262.77644,1249.72029,1306.924339,1229.283243,1367.949561,1385.924104,1389.938332,1500.919409,1517.878525,1596.229078,1659.260572,1671.722669,1702.101909,1752.235235,1784.168521,1847.598649,1925.743424,1896.435994,1994.121509,2111.213041,2221.001315,2334.855201,2437.273832,2510.961753,2463.232634,2472.177604,2448.391865,2526.735226,2553.97447,2704.245082,2859.841815,3056.71891,3278.47148,3537.878938,3880.121337,4080.936505,4187.382323,4469.619992,4565.360706,4678.40658,4889.959284,5195.033328,4849.569814,4762.826673,4498.143377,4643.22675,4913.962528,5201.660532,5269.529529,5154.552248,5223.679696,4920.05689,4887.812358,4782.211206,4937.484734,5144.890969,5280.435551,5313.327994,5411.327741,5333.894962,5269.867102,5417.94332,5412.25528,5481.246625,5472.388031,5713.413165,5824.471363,5987.808635,6284.52609,6542.011779,6456.963855,6879.054862
Chile ,2194.033028,2222.51422,2292.577715,2138.784592,2287.481785,2259.240285,2408.401395,2507.31159,2742.524742,2725.694695,3000.107609,2886.534444,2967.751512,2988.345051,2496.845956,2389.093043,2895.181627,2923.318082,2925.875624,2480.490215,2768.184623,2369.802825,2425.782725,2884.600983,3061.679684,3152.441654,2850.49023,2759.779069,3332.359364,3455.4293,2858.763916,2217.67227,1844.45583,2236.347121,2655.490299,2761.24334,2847.455403,3181.244397,3160.88871,3169.254805,3236.214804,3140.72371,3225.682877,3256.110283,3255.812295,3471.4887,3699.337778,3240.153689,3711.880097,3568.799039,3669.741798,3730.99784,3893.03185,4112.131182,3907.253806,3975.3891,3956.806051,4264.199787,4391.559576,4042.026695,4270.277231,4366.304858,4465.246923,4639.284082,4638.288359,4577.138538,4984.453509,5045.805815,5127.644877,5220.438323,5231.429389,5597.308919,5428.560219,5033.680306,4991.985694,4273.292655,4347.025561,4700.084469,5010.66067,5344.660999,5680.414863,5932.445916,5034.948175,4810.228903,5010.888421,5029.554167,5227.418854,5480.243784,5780.397394,6282.897442,6400.944474,6784.487812,7482.810871,7869.486706,8181.678288,8910.443755,9426.999805,9906.158183,10088.42831,9883.608018,10198.92856,10421.48726,10532.65408,10837.39235,11485.273,12079.8532,12648.00849,13176.05189,13479.08481,13210.08583,13883.18456
Colombia ,682.5410517,679.1283464,675.7327047,672.3540412,668.9922709,665.6473096,671.4785888,702.3339212,727.5516366,751.4829203,779.0332571,802.1654714,825.653649,845.218901,860.5568425,883.1198627,910.8254694,930.0215144,962.9212381,1022.269073,1070.51542,1109.713682,1161.391536,1211.016705,1255.013078,1254.768571,1340.244591,1423.838406,1489.689314,1504.703517,1474.041255,1447.738785,1510.782751,1576.679465,1525.569169,1676.538452,1744.447739,1750.836756,1842.99481,1904.87257,1895.137308,1877.197193,1831.601853,1791.587544,1862.597862,1899.270237,2017.036489,2041.95507,2050.372528,2107.337172,2152.841293,2150.104471,2214.436653,2276.61705,2358.455624,2372.758245,2390.636012,2399.973547,2382.560505,2473.468495,2496.814494,2539.857068,2593.785907,2597.227622,2674.903261,2688.808831,2750.064421,2784.250396,2873.681856,2976.452312,3094.216436,3194.2593,3355.248595,3499.379758,3617.679464,3620.601036,3713.288416,3793.264063,4041.681329,4177.124885,4257.256581,4254.602241,4202.472508,4175.224038,4228.65686,4271.749361,4435.657895,4577.217963,4669.466107,4726.096512,4825.742634,4840.186836,4950.210928,5131.017034,5292.598378,5469.755103,5497.027516,5606.695216,5562.83568,5269.378486,5375.205431,5409.494405,5476.339362,5613.902943,5830.76357,6021.956302,6339.936065,6689.753199,6839.710912,6853.822811,7062.504707
Mexico ,1318.647787,1415.498239,1347.885501,1482.746354,1492.328266,1629.673467,1594.255803,1669.051513,1649.299002,1680.002667,1693.533333,1706.737825,1718.291055,1731.529726,1744.318182,1757.190635,1770.147256,1783.255191,1796.447721,1809.725017,1823.087248,1835.918093,1850.353625,1884.102297,1825.036838,1908.035827,1991.181767,1874.786011,1856.738699,1757.214815,1617.874818,1643.020595,1372.512648,1501.021253,1573.922472,1660.348224,1768.434874,1795.869902,1794.265415,1858.033621,1851.959006,1949.463135,2032.045328,2051.389831,2159.496789,2133.83072,2210.584525,2221.439376,2247.949868,2304.364169,2365.019284,2477.383186,2503.987733,2439.087348,2605.141138,2742.400117,2842.818714,2964.740121,3025.099223,3016.437911,3155.202619,3172.112421,3210.949215,3342.558268,3593.684233,3701.974279,3812.532565,3922.404571,4072.57421,4185.48456,4319.645997,4364.887462,4601.933535,4852.590122,5012.783638,5158.34022,5243.767097,5293.273636,5595.136853,5967.568432,6320.394056,6716.835077,6513.722942,6087.574451,6162.455375,6194.114741,5834.278719,5817.941858,5770.879434,5898.832481,6084.910965,6226.387975,6333.470963,6339.152999,6503.91349,6001.468879,6209.246686,6526.269368,6753.857331,6915.792332,7274.99279,7177.764251,7146.148129,7159.005577,7362.219117,7514.346218,7802.888109,7972.486518,7977.506516,7391.759093,7715.665029
Peru ,680.321662,720.9899694,757.0168404,798.3104541,814.911366,863.5778636,920.9456024,966.3654618,972.483887,976.499388,980.9040367,989.4962998,1011.551155,1032.363213,1013.103448,1086.719637,1184.529148,1212.751826,1204.85352,1229.540056,1226.226013,1257.13686,1344.563869,1414.936915,1524.038462,1540.236686,1670.291262,1673.804971,1754.329819,1907.524092,1662.956204,1504.040223,1423.144876,1557.892907,1740.335272,1873.085339,1931.43425,1926.022487,1924.963925,1904.54402,1910.714286,1880.458015,1806.51456,1804.161747,1926.001161,1963.766049,2005.049088,2026.751241,2058.56833,2176.619568,2307.631838,2425.698295,2487.384278,2578.5644,2582.810465,2702.992562,2751.294231,2809.503504,2742.984239,2682.494978,2969.086698,3142.158062,3280.559121,3334.441796,3465.159061,3593.958473,3788.35916,3830.550106,3685.476114,3676.48549,3854.223516,3915.818489,3929.643776,4022.842728,4119.337631,4325.977121,4270.606187,4156.947371,4049.06692,4180.79758,4262.834905,4342.375509,4247.124856,3594.104674,3675.661459,3666.066282,3946.008562,4192.209073,3766.441333,3237.01007,3008.287037,3028.228592,2952.726822,3029.957422,3351.227492,3572.673534,3598.829886,3782.662138,3699.835546,3679.949573,3736.817805,3695.381389,3831.403056,3936.927389,4084.059556,4313.149559,4595.636714,4949.587582,5375.591721,5364.624918,5773.59548
Uruguay,2218.579235,2233.333333,2572.486772,2614.984391,2639.713408,2334.340383,2533.201189,2757.309942,2973.154362,2956.685499,3135.985199,2956.834532,3507.867133,3310.11045,2654.129191,2470.304976,2508.274232,2717.49226,2827.507599,3134.9739,2673.960613,2751.0699,3078.157711,3169.96587,3397.196262,3187.744459,3397.835773,3797.263682,3905.832321,3847.477745,4301.225919,3500.287191,3196.045198,2750.416898,3220.88573,3355.567509,3458.973002,3462.25924,3676.229508,3691.872428,3660.559796,3682.435833,3337.810945,3330.708661,3704.622871,3763.575204,4083.056478,4312.558575,4405.092593,4503.656307,4659.397751,4954.882009,4956.579441,5138.533749,5390.791365,5351.581889,5360.169758,5332.873669,5402.349445,4859.676588,4960.155577,5036.286067,4858.250983,4819.705552,4858.068561,4859.767416,4974.263259,4720.621092,4747.160833,4990.972065,5184.05374,5130.143147,4944.997855,4974.392359,5123.294129,5417.018284,5601.537924,5628.690518,5888.160166,6214.824983,6554.607509,6873.244382,5971.698113,5583.138173,5487.034574,5559.760956,6014.846585,6453.263365,6413.298566,6454.015544,6464.630225,6664.045843,7163.186706,7324.363375,7824.629308,7679.497394,8071.734918,8434.4317,8775.832635,8494.072026,8340.856995,8030.074449,7121.273418,7255.884426,8094.064997,8613.143942,8968.144368,9603.646232,10405.44179,10650.09502,11526.32749
Venezuela,821.18,791.3921872,856.0296006,913.4351,876.2473874,860.5150493,798.9357772,792.8147808,841.0752953,864.9970215,885.5622577,936.9487031,961.944224,1103.833165,956.4305056,979.5569848,920.6398223,1068.966435,1057.472172,982.7768625,1172.6914,1213.913368,1240.650823,1420.252065,1630.026166,2081.325287,2487.005461,2761.048221,3057.181269,3426.482399,3444.475267,2753.992276,2612.910754,2831.015622,2994.886942,3180.65656,3448.986162,3895.887661,4144.368583,4305.361156,4045.16641,3902.615031,3346.601054,3574.887269,4309.057729,5102.309492,5947.824848,6893.605931,7394.128875,7543.578073,7461.959519,7663.18703,7991.811114,7956.457398,8417.386109,8749.86245,9123.697731,10057.78594,9816.283401,9997.403576,9645.889496,9001.589738,9057.915176,9134.379736,9562.093853,9841.487428,9677.244786,9921.570017,10249.34707,10262.42278,10671.76228,10446.30622,10245.36264,10625.0423,10507.49958,10471.64782,10929.3544,11250.88245,11164.30729,10919.59055,10139.22774,9841.124259,9356.135288,8745.421112,8623.034425,8521.42511,8724.504032,8804.935651,9080.103995,8093.960539,8312.867848,8907.165898,9234.497971,9060.606192,8665.717285,8831.346698,8648.616441,9034.626461,8906.042979,8237.707881,8409.045344,8566.435314,7695.538193,6996.444959,8156.497871,8868.262445,9602.283957,10289.50876,10672.10831,10176.2483,9874.358774
Japan ,1179.513366,1206.463123,1128.90485,1192.627539,1188.088253,1156.754746,1297.209541,1325.154557,1318.438956,1300.542491,1303.755261,1355.578015,1384.082605,1386.689116,1326.502214,1429.715006,1629.71796,1665.063192,1668.413329,1827.214396,1695.754291,1859.502531,1831.122481,1809.350484,1836.317214,1885.161755,1871.577781,1869.766547,1992.371867,2025.734678,1850.391321,1837.34094,1961.583284,2122.435623,2098.341636,2120.468486,2244.421399,2315.116291,2449.274767,2816.056769,2874.290172,2872.703885,2818.216996,2821.622643,2658.972661,1346.12584,1444.216479,1540.944457,1725.285884,1799.825877,1920.720721,2125.608509,2336.424682,2474.343696,2581.869875,2770.749137,2947.870106,3135.873353,3288.895322,3553.935736,3986.432886,4426.284224,4776.516828,5128.644256,5667.690458,5933.747612,6505.531579,7152.293623,7983.313409,8874.088897,9713.951433,10040.32422,10733.59956,11433.80206,11144.5202,11343.78106,11668.9679,12063.85498,12584.8783,13163.09713,13427.72994,13754.45171,14078.3704,14306.87289,14772.58696,15331.25084,15679.38106,16251.29386,17184.63784,17942.51366,18789.07116,19347.10308,19440.2993,19417.43561,19536.81945,19871.71446,20343.36045,20617.43762,20154.494,20070.39909,20480.95126,20499.90795,20516.84923,20832.99785,21301.17825,21575.02347,21938.17059,22410.06561,22175.12447,20963.2003,21934.90339
