country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Kuwait ,KWT,0,-0.013,-0.013,-0.021,-0.027,-0.031,-0.031,-0.033,-0.029,-0.034,0.006,0.017,0.014,0.005,-0.014,-0.026,-0.028,-0.031,-0.029,-0.017,-0.08,-0.104,-0.117,-0.103,-0.085,-0.077,-0.073,-0.072,-0.073,-0.077,-0.074,-0.023,-0.005,0.015,0.017,0.023,0.015,0.023,0.024,0.016,0.045
Laos,LAO,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012,0.013,0.015,0.016,0.017,0.017,0.016,0.016,0.016,0.014,0.012,0.01,0.008,0.006,0.004,0.006,0.012,0.015,0.016,0.016,0.018,0.018,0.023,0.026
Lebanon ,LBN,-0.002,0.016,0.013,0,-0.008,-0.006,0.002,-0.005,0.022,0.016,0.02,0.019,0.024,0.025,0.033,0.025,0.023,0.034,0.027,0.022,0.019,0.011,-0.001,-0.002,-0.01,-0.006,-0.013,-0.05,-0.061,-0.056,-0.058,-0.024,-0.014,-0.007,-0.002,0,0.007,0.046,0.058,0.056,0.058
Lesotho,LSO,0.026,0.021,0.033,0.038,0.041,0.039,0.034,0.04,0.035,0.034,0.028,0.016,0.019,0.032,0.03,0.019,0.035,0.041,0.056,0.047,0.052,0.063,0.048,0.015,0.017,0.029,0.015,0.004,0.001,0.019,0.016,0.019,0.021,0.034,0.026,0.035,0.043,0.043,0.029,0.022,0.022
Liberia,LBR,0.015,0.012,0.01,0.008,0.007,0.005,0.019,0.014,0.016,0.017,0.02,0.022,0.024,0.019,0.02,0.002,-0.011,-0.011,-0.011,-0.014,-0.025,-0.027,-0.033,-0.031,-0.039,-0.025,-0.026,-0.023,-0.027,-0.031,-0.009,0.008,0.011,0.013,0.02,0.027,0.026,0.019,0.012,0.009,-0.007
Libya ,LBY,0.079,0.077,0.099,0.13,0.169,0.17,0.166,0.173,0.195,0.199,0.174,0.156,0.109,0.076,0.021,0.003,0.007,0.006,-0.018,-0.018,-0.022,-0.037,-0.028,-0.029,-0.02,-0.033,-0.058,-0.069,-0.072,-0.082,-0.082,-0.067,-0.066,-0.068,-0.06,-0.052,-0.04,-0.031,-0.035,-0.034,-0.028
Madagascar,MDG,0.017,0.015,0.013,0.008,0.008,0.003,0.001,0.003,0.005,0.005,0.009,0.01,0.006,0.004,0.002,0.003,-0.002,-0.006,-0.015,-0.01,-0.015,-0.028,-0.029,-0.026,-0.033,-0.032,-0.029,-0.029,-0.025,-0.031,-0.028,-0.026,-0.023,-0.022,-0.019,-0.019,-0.018,-0.017,-0.014,-0.014,-0.013
Malawi,MWI,0.02,0.02,0.015,0.008,0.001,0.012,0.013,0.017,0.012,0.014,0.013,0.021,0.031,0.041,0.05,0.04,0.033,0.029,0.038,0.036,0.035,0.015,0.006,0.002,0,0.003,-0.001,-0.006,-0.015,-0.017,-0.015,-0.003,-0.012,-0.005,-0.016,-0.007,0.003,0.01,0.012,0.014,0.012
Malaysia ,MYS,-0.002,0.01,0.011,0.015,0.015,0.021,0.021,0.023,0.032,0.032,0.031,0.032,0.034,0.044,0.045,0.039,0.047,0.053,0.053,0.056,0.058,0.058,0.056,0.048,0.048,0.046,0.035,0.032,0.032,0.033,0.034,0.036,0.039,0.043,0.044,0.055,0.064,0.065,0.048,0.045,0.044
Mali,MLI,0.016,0.013,0.01,0.012,0.013,0.011,0.011,0.011,0.011,0.006,0.009,0.012,0.016,0.007,-0.001,0.011,0.019,0.024,0.018,0.041,0.023,0.016,0.006,0.013,0.021,0.01,0.004,-0.001,0.001,-0.011,0.002,0.014,0.015,0.014,0.013,0.013,0.014,0.016,0.02,0.015,0.01
Mauritania ,MRT,0.03,0.042,0.036,0.025,0.048,0.058,0.054,0.053,0.058,0.052,0.054,0.038,0.042,0.041,0.024,0.004,0.01,0.005,-0.004,0.002,-0.005,-0.002,-0.006,0.004,-0.013,-0.004,-0.007,-0.003,0,-0.001,-0.006,-0.008,-0.005,-0.006,0.005,0.007,0.007,0.008,0.008,0.008,0.014
Mauritius ,MUS,0.011,0.027,0.025,0.037,0.024,0.025,0.018,0.02,0.011,0.011,0.006,-0.008,0.002,0.001,0.02,0.019,0.039,0.041,0.053,0.051,0.04,0.041,0.037,0.025,0.02,0.027,0.022,0.026,0.03,0.032,0.051,0.053,0.052,0.058,0.058,0.054,0.049,0.044,0.043,0.044,0.039
Mexico ,MEX,0.029,0.025,0.025,0.032,0.033,0.03,0.03,0.028,0.03,0.033,0.032,0.032,0.037,0.038,0.034,0.034,0.032,0.03,0.032,0.036,0.039,0.044,0.035,0.023,0.021,0.018,0.011,0.009,0.003,-0.001,-0.004,-0.008,-0.003,0.004,0.005,-0.003,0.006,0.012,0.016,0.016,0.018
Mongolia ,MNG,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.032,0.035,0.035,0.035,0.035,0.038,0.036,0.035,0.032,0.023,0.006,-0.012,-0.019,-0.022,-0.02,-0.026,-0.024,-0.025,-0.026,-0.023
Morocco ,MAR,-0.009,-0.008,-0.007,-0.007,-0.007,-0.006,-0.001,0.004,0.009,0.015,0.02,0.022,0.021,0.022,0.024,0.028,0.033,0.033,0.031,0.031,0.035,0.027,0.034,0.029,0.027,0.026,0.023,0.015,0.021,0.019,0.013,0.023,0.009,0.01,0.017,0.005,0.01,0.011,0.009,0.009,0.008
Mozambique,MOZ,0.016,0.015,0.017,0.01,0.011,0.007,0.009,0.013,0.019,0.025,0.028,0.031,0.027,0.036,0.022,0.004,-0.005,-0.012,-0.022,-0.033,-0.035,-0.039,-0.044,-0.055,-0.049,-0.041,-0.033,-0.025,-0.015,-0.009,-0.009,-0.004,-0.006,0.007,0.01,0.017,0.027,0.029,0.03,0.031,0.03
N. Zealand ,NZL,0.011,0.024,0.022,0.026,0.018,0.022,0.024,0.017,0.014,0.018,0.017,0.017,0.02,0.021,0.021,0.014,0.011,0.012,0.013,0.007,0.01,0.011,0.009,0.006,0.006,0.009,0.009,0.015,0.014,0.012,0.01,0.004,0.003,0.006,0.006,0.009,0.009,0.01,0.011,0.016,0.019
Namibia ,NAM,0.019,0.017,0.027,0.033,0.043,0.046,0.046,0.038,0.036,0.033,0.024,0.025,0.017,0.01,-0.002,-0.008,-0.008,0.002,0.008,0.009,0.013,0.014,0.011,0.005,0,0,-0.001,-0.005,-0.011,-0.01,-0.018,-0.017,-0.01,-0.008,0,0.004,0.004,0.006,0.009,0.008,0.015
Nepal ,NPL,0.02,0.02,0.018,0.014,0.013,0.013,0.015,0.012,0.007,0.008,0.007,0.003,0.004,0,0.004,0.003,0,0.004,0.007,0.005,0,0.001,0.009,0.006,0.008,0.012,0.012,0.012,0.015,0.015,0.024,0.03,0.021,0.028,0.026,0.023,0.024,0.024,0.018,0.019,0.019
Netherlands,NLD,0.033,0.031,0.036,0.03,0.032,0.03,0.029,0.031,0.038,0.04,0.037,0.042,0.038,0.04,0.036,0.032,0.034,0.032,0.028,0.025,0.021,0.017,0.013,0.01,0.01,0.013,0.012,0.01,0.011,0.013,0.016,0.019,0.022,0.021,0.02,0.02,0.021,0.024,0.025,0.025,0.025
Nicaragua,NIC,0.021,0.021,0.016,0.024,0.026,0.028,0.031,0.03,0.031,0.036,0.036,0.033,0.026,0.021,0.023,0.014,0.015,0.017,0.008,-0.029,-0.026,-0.026,-0.03,-0.029,-0.044,-0.046,-0.052,-0.06,-0.064,-0.035,-0.04,-0.046,-0.046,-0.051,-0.046,-0.038,-0.032,-0.027,-0.011,0.009,0.006
Niger,NER,0.021,0.021,0.027,0.033,0.029,0.032,0.027,0.024,0.02,0.013,0.01,0.011,-0.004,-0.032,-0.024,-0.034,-0.033,-0.026,-0.015,-0.005,-0.003,-0.008,-0.004,0.013,-0.014,-0.01,-0.006,-0.017,-0.025,-0.032,-0.039,-0.038,-0.044,-0.041,-0.02,-0.029,-0.029,-0.026,-0.02,-0.02,-0.021
Nigeria,NGA,0.009,0.004,0.002,0.008,0.005,0.009,0.008,-0.013,-0.013,0.006,0.029,0.037,0.035,0.035,0.042,0.032,0.046,0.067,0.062,0.044,0.018,-0.002,-0.007,-0.021,-0.035,-0.023,-0.031,-0.035,-0.019,-0.019,-0.016,-0.008,-0.006,0.003,0.007,-0.001,0.002,0.006,-0.001,-0.007,-0.007
North Italy,ITA,0.056,0.054,0.056,0.055,0.055,0.052,0.054,0.055,0.057,0.056,0.056,0.05,0.047,0.048,0.05,0.043,0.044,0.039,0.035,0.035,0.033,0.032,0.029,0.024,0.023,0.028,0.025,0.026,0.027,0.025,0.024,0.024,0.024,0.022,0.021,0.021,0.019,0.017,0.015,0.013,0.014
North Korea ,PRK,0.026,0.047,0.041,0.021,0.021,0.021,0.032,0.032,0.039,0.051,0.059,0.084,0.086,0.091,0.085,0.082,0.072,0.067,0.057,0.044,0.038,0.012,0.01,0.001,0,0,0,0,0,0,0,0,-0.01,-0.011,-0.042,-0.061,-0.079,-0.084,-0.084,-0.083,-0.083
Norway ,NOR,0.029,0.03,0.029,0.029,0.029,0.033,0.031,0.035,0.037,0.037,0.034,0.033,0.035,0.036,0.035,0.035,0.038,0.036,0.038,0.038,0.042,0.038,0.033,0.033,0.035,0.035,0.033,0.031,0.027,0.023,0.02,0.023,0.026,0.025,0.023,0.022,0.024,0.027,0.029,0.03,0.031
Oman,OMN,0.041,0.036,0.048,0.046,0.039,0.032,0.031,0.077,0.136,0.154,0.151,0.149,0.138,0.115,0.127,0.15,0.156,0.096,0.028,0.007,0.007,0.02,0.02,0.05,0.054,0.044,0.034,0.043,0.05,0.052,0.048,0.039,0.037,0.028,0.017,0.01,0.012,0.011,0.012,0.008,0.014
Pakistan,PAK,0.001,0.01,0.016,0.013,0.018,0.019,0.024,0.023,0.029,0.034,0.039,0.034,0.027,0.028,0.024,0.024,0.022,0.022,0.024,0.021,0.02,0.026,0.032,0.032,0.032,0.037,0.037,0.038,0.036,0.037,0.032,0.03,0.031,0.027,0.028,0.024,0.025,0.021,0.019,0.019,0.018
Panama,PAN,0.022,0.033,0.036,0.039,0.039,0.041,0.043,0.041,0.047,0.048,0.048,0.045,0.043,0.04,0.038,0.031,0.026,0.019,0.023,0.02,0.029,0.026,0.027,0.022,0.02,0.024,0.026,0.028,0.001,-0.004,-0.013,-0.008,-0.006,-0.001,0.002,0,-0.001,0.001,0.022,0.026,0.024
Paraguay,PRY,-0.002,0.001,0.01,0.01,0.012,0.013,0.01,0.012,0.01,0.014,0.019,0.018,0.016,0.021,0.024,0.025,0.031,0.035,0.043,0.05,0.058,0.063,0.054,0.043,0.038,0.035,0.028,0.021,0.016,0.01,-0.001,-0.007,-0.002,0.005,0.005,0.006,0.008,0.006,0,-0.005,-0.009
Peru ,PER,0.026,0.026,0.028,0.026,0.03,0.029,0.033,0.031,0.03,0.032,0.026,0.022,0.018,0.019,0.017,0.019,0.012,0.008,0.009,0.013,0.01,0.01,0.008,-0.011,-0.011,-0.016,-0.008,0.001,-0.007,-0.025,-0.034,-0.035,-0.036,-0.017,-0.009,-0.003,-0.009,-0.01,-0.002,0.013,0.022
Philippines,PHL,0.033,0.028,0.026,0.024,0.02,0.019,0.016,0.016,0.017,0.015,0.018,0.018,0.019,0.021,0.021,0.022,0.027,0.027,0.028,0.029,0.03,0.029,0.027,0.021,0.01,-0.003,-0.008,-0.009,-0.007,-0.006,-0.008,-0.011,-0.014,-0.014,-0.002,0.011,0.013,0.014,0.007,0.005,0.006
Poland ,POL,0.028,0.032,0.029,0.03,0.029,0.031,0.034,0.033,0.035,0.032,0.033,0.032,0.041,0.043,0.045,0.044,0.04,0.038,0.035,0.034,0.026,0.014,0.005,0.003,0.001,-0.003,-0.002,-0.005,-0.005,-0.004,-0.011,-0.013,-0.009,-0.009,-0.007,-0.001,0.003,0.012,0.015,0.021,0.036
Portugal ,PRT,0.035,0.037,0.044,0.043,0.045,0.049,0.05,0.054,0.062,0.06,0.064,0.065,0.067,0.073,0.066,0.05,0.05,0.048,0.042,0.045,0.039,0.033,0.027,0.016,0.014,0.025,0.024,0.025,0.03,0.03,0.03,0.034,0.033,0.03,0.033,0.034,0.033,0.031,0.028,0.026,0.025
Puerto Rico ,PRI,0.048,0.052,0.052,0.055,0.056,0.059,0.058,0.059,0.062,0.061,0.064,0.061,0.06,0.057,0.051,0.039,0.036,0.035,0.037,0.034,0.026,0.021,0.013,0.007,0.013,0.019,0.024,0.023,0.023,0.023,0.026,0.027,0.035,0.04,0.037,0.04,0.035,0.033,0.03,0.03,0.03
Qatar,QAT,0.008,0,-0.004,-0.009,-0.02,-0.019,0,0.011,0.015,0.007,-0.001,0.021,0.03,0.043,0.032,0.029,0.009,-0.019,-0.021,-0.02,-0.012,-0.046,-0.074,-0.103,-0.099,-0.113,-0.135,-0.12,-0.124,-0.124,-0.128,-0.115,-0.088,-0.071,-0.06,-0.04,-0.011,0.01,0.016,0.019,0.028
Romania ,ROU,0.045,0.045,0.042,0.042,0.042,0.042,0.05,0.051,0.047,0.047,0.045,0.051,0.054,0.05,0.049,0.047,0.04,0.038,0.04,0.039,0.038,0.024,0.018,0.015,0.014,0.01,0.007,0.004,0.001,-0.005,-0.016,-0.028,-0.037,-0.034,-0.034,-0.026,-0.023,-0.027,-0.03,-0.028,-0.014
Russia,RUS,0.033,0.039,0.035,0.028,0.036,0.034,0.03,0.033,0.033,0.036,0.035,0.033,0.031,0.043,0.034,0.028,0.029,0.027,0.023,0.022,0.014,0.013,0.015,0.01,0.008,0.009,0.008,0.007,0.007,0.009,0.007,0,-0.018,-0.03,-0.045,-0.05,-0.056,-0.054,-0.057,-0.054,-0.043
Rwanda,RWA,0.018,0.01,0.019,0.005,-0.014,-0.011,-0.008,-0.006,-0.002,0.002,0.009,0.012,-0.001,0.012,0.029,0.039,0.03,0.027,0.03,0.028,0.029,0.034,0.041,0.044,0.035,0.022,0.029,0.024,0.01,0.003,-0.008,-0.017,-0.018,-0.033,-0.074,-0.034,-0.042,-0.04,-0.03,-0.024,-0.017
S. Korea ,KOR,0.037,0.047,0.041,0.021,0.021,0.021,0.032,0.032,0.039,0.051,0.059,0.065,0.07,0.079,0.081,0.082,0.083,0.087,0.084,0.077,0.066,0.063,0.064,0.059,0.06,0.06,0.061,0.062,0.065,0.065,0.078,0.082,0.08,0.076,0.076,0.079,0.075,0.069,0.052,0.056,0.056
Sao Tomé & Principe,STP,0.006,0.013,0.02,0.026,0.027,0.043,0.043,0.049,0.043,0.059,0.052,0.047,0.036,0.025,0.02,0.02,0.02,0.023,0.022,0.027,0.034,-0.004,0.021,0.015,0.004,0.005,-0.002,-0.013,-0.017,-0.026,-0.036,-0.005,-0.028,-0.018,-0.008,-0.015,-0.015,-0.012,-0.013,-0.013,-0.013
Saudi Arabia ,SAU,0.052,0.055,0.061,0.059,0.056,0.065,0.071,0.076,0.079,0.076,0.074,0.076,0.079,0.089,0.094,0.08,0.071,0.073,0.066,0.06,0.057,0.047,0.031,-0.002,-0.018,-0.026,-0.039,-0.047,-0.046,-0.046,-0.038,-0.032,-0.028,-0.015,-0.012,-0.002,0.01,0.009,0.011,0.008,-0.001
Senegal ,SEN,0.014,0.014,0.013,0.013,0.011,0.01,0.008,0.003,0.005,-0.006,-0.001,-0.006,-0.004,-0.014,-0.012,-0.008,-0.001,-0.003,-0.014,-0.001,-0.012,-0.013,-0.005,0.003,-0.006,-0.011,-0.015,-0.009,0,-0.009,-0.001,0.003,-0.01,-0.01,-0.005,-0.003,-0.005,-0.005,-0.004,0.005,0.005
Seychelles,SYC,0.022,0.008,0.012,0.017,0.014,0.012,0.013,0.009,0.014,0.009,0.008,0.029,0.028,0.028,0.027,0.031,0.039,0.047,0.047,0.065,0.056,0.035,0.028,0.018,0.021,0.027,0.02,0.019,0.016,0.006,0.015,0.025,0.034,0.042,0.035,0.026,0.034,0.041,0.042,0.033,0.021
Sierra Leone,SLE,0.027,0.023,0.024,0.022,0.017,0.021,0.023,0.018,0.025,0.028,0.028,0.025,0.019,0.021,0.023,0.019,0.009,0.011,0.002,-0.002,-0.001,0.005,0.008,0.003,0,-0.006,-0.007,-0.004,-0.002,-0.006,-0.008,-0.023,-0.031,-0.026,-0.024,-0.031,-0.054,-0.078,-0.081,-0.089,-0.088
Singapore ,SGP,0.004,0.007,0.01,0.016,0.009,0.012,0.022,0.032,0.044,0.061,0.068,0.073,0.08,0.083,0.095,0.092,0.089,0.086,0.082,0.077,0.074,0.068,0.059,0.056,0.057,0.052,0.048,0.05,0.051,0.049,0.046,0.045,0.046,0.048,0.049,0.055,0.058,0.056,0.043,0.04,0.041
Somalia ,SOM,0.019,0.018,0.019,0.019,0.001,-0.009,0,0.002,0.001,-0.018,-0.011,-0.014,-0.009,-0.015,-0.026,0.01,-0.004,0.012,0.01,0.01,-0.009,-0.003,-0.006,-0.015,0.01,-0.013,-0.01,-0.028,-0.026,-0.008,0.004,-0.01,-0.024,-0.011,-0.011,-0.014,-0.013,-0.017,-0.02,-0.023,-0.024
Spain ,ESP,0.034,0.037,0.04,0.051,0.053,0.055,0.054,0.058,0.059,0.071,0.075,0.068,0.065,0.063,0.061,0.058,0.054,0.052,0.049,0.042,0.038,0.033,0.027,0.022,0.016,0.015,0.015,0.018,0.02,0.025,0.027,0.03,0.029,0.026,0.027,0.031,0.03,0.028,0.027,0.027,0.027
Sri Lanka,LKA,0.003,-0.001,-0.001,-0.001,0.002,-0.001,-0.002,0.005,0.01,0.013,0.015,0.013,0.012,0.015,0.014,0.014,0.019,0.017,0.016,0.019,0.02,0.028,0.031,0.032,0.034,0.036,0.039,0.034,0.03,0.027,0.029,0.028,0.028,0.029,0.03,0.031,0.03,0.036,0.038,0.04,0.04
Sudan ,SDN,0.022,0.018,0.019,0.012,0.006,0.008,-0.003,-0.005,-0.003,-0.008,-0.014,-0.008,-0.016,-0.023,-0.012,-0.008,0.01,0.027,0.018,0,0.005,0,0.013,0.021,0.006,-0.013,-0.025,-0.036,-0.032,-0.012,-0.02,-0.013,-0.029,-0.022,-0.014,-0.003,0,0.047,0.067,0.08,0.104
Swaziland,SWZ,0.026,0.033,0.049,0.051,0.059,0.071,0.071,0.077,0.069,0.067,0.081,0.07,0.061,0.061,0.057,0.046,0.044,0.038,0.045,0.042,0.016,0.021,0.015,0.009,0,0.001,0.001,0.005,-0.001,0.002,0.002,-0.004,-0.009,-0.006,-0.002,-0.001,0,-0.003,0.005,0.005,0.008
Sweden ,SWE,0.026,0.028,0.031,0.033,0.036,0.036,0.034,0.033,0.036,0.038,0.039,0.034,0.032,0.031,0.028,0.027,0.027,0.022,0.021,0.02,0.016,0.016,0.015,0.013,0.014,0.013,0.015,0.019,0.019,0.018,0.017,0.015,0.012,0.008,0.007,0.009,0.008,0.008,0.011,0.013,0.017
Switzerland ,CHE,0.032,0.031,0.033,0.034,0.033,0.029,0.026,0.025,0.031,0.031,0.031,0.029,0.029,0.029,0.026,0.017,0.015,0.016,0.014,0.012,0.011,0.009,0.004,0.002,0.003,0.013,0.014,0.012,0.014,0.015,0.014,0.01,0.011,0.01,0.008,0.005,0.004,0.006,0.007,0.004,0.005
Syria ,SYR,0.023,0.034,0.031,0.018,0.005,0.015,-0.011,-0.01,0.008,0.022,0.016,0.017,0.018,0.009,0.029,0.047,0.067,0.057,0.061,0.047,0.063,0.062,0.041,0.051,0.025,0.012,-0.003,0,0.004,-0.009,-0.013,-0.012,-0.001,0.006,0.016,0.016,0.025,0.023,0.017,0.024,0.019
Tanzania ,TZA,0.008,-0.005,0.001,0.01,0.007,0.008,0.018,0.02,0.024,0.02,0.022,0.027,0.024,0.021,0.017,0.019,0.014,0.013,0.011,0.01,0.006,0.001,-0.004,-0.008,-0.007,-0.013,-0.016,-0.014,-0.013,-0.011,-0.009,-0.006,-0.006,-0.005,-0.007,-0.003,-0.001,-0.002,-0.002,-0.002,0
Thailand ,THA,0.028,0.026,0.028,0.026,0.033,0.033,0.043,0.05,0.055,0.051,0.046,0.046,0.043,0.045,0.043,0.041,0.04,0.042,0.045,0.043,0.042,0.044,0.046,0.043,0.045,0.045,0.042,0.043,0.047,0.054,0.061,0.064,0.069,0.073,0.075,0.079,0.08,0.067,0.046,0.039,0.033
Togo,TGO,0.02,0.022,0.022,0.023,0.032,0.041,0.046,0.048,0.049,0.056,0.044,0.045,0.044,0.035,0.026,0.013,0.003,0.004,0.009,0.005,0.002,-0.012,-0.02,-0.023,-0.025,-0.021,-0.019,-0.024,-0.03,-0.034,-0.031,-0.026,-0.026,-0.034,-0.018,-0.018,-0.013,-0.02,-0.026,-0.026,-0.026
Tunisia ,TUN,0.019,0.026,0.012,0.023,0.024,0.036,0.031,0.033,0.03,0.038,0.031,0.033,0.052,0.036,0.04,0.04,0.045,0.049,0.045,0.048,0.049,0.043,0.026,0.032,0.027,0.026,0.017,0.02,0.014,0.011,0.013,0.012,0.02,0.018,0.018,0.016,0.026,0.025,0.031,0.034,0.032
Turkey,TUR,0.033,0.022,0.017,0.015,0.023,0.018,0.027,0.024,0.028,0.029,0.032,0.04,0.04,0.035,0.039,0.045,0.042,0.042,0.038,0.032,0.027,0.022,0.021,0.02,0.018,0.014,0.013,0.017,0.018,0.02,0.03,0.027,0.029,0.034,0.023,0.026,0.026,0.025,0.025,0.021,0.019
UAE,ARE,0.036,0.033,0.035,0.031,0.026,0.029,0.027,0.028,0.026,0.018,0.009,0.007,0.002,-0.001,0.01,-0.003,-0.003,-0.001,-0.016,-0.003,0.012,0.007,-0.008,-0.019,-0.034,-0.031,-0.06,-0.065,-0.056,-0.061,-0.066,-0.066,-0.055,-0.05,-0.047,-0.039,-0.01,-0.005,-0.004,-0.009,-0.009
Uganda ,UGA,0.004,0.007,0.004,0.011,0.019,0.015,0.015,0.016,0.018,0.023,0.02,0.024,0.021,0.011,0.004,0,-0.005,-0.008,-0.016,-0.037,-0.041,-0.04,-0.033,-0.027,-0.036,-0.033,-0.035,-0.031,-0.021,-0.004,0.002,-0.001,-0.007,-0.007,0.008,0.017,0.027,0.027,0.025,0.026,0.028
UK,GBR,0.022,0.022,0.023,0.022,0.023,0.022,0.022,0.023,0.027,0.025,0.022,0.021,0.025,0.028,0.022,0.02,0.021,0.021,0.021,0.022,0.018,0.015,0.014,0.011,0.015,0.018,0.02,0.022,0.023,0.022,0.024,0.024,0.022,0.021,0.022,0.022,0.02,0.022,0.02,0.021,0.025
Uruguay,URY,0.006,0.002,-0.002,-0.006,-0.01,-0.01,-0.007,-0.012,-0.013,0.003,0.004,0.002,0.002,0.003,0.005,0.011,0.012,0.018,0.022,0.022,0.024,0.03,0.019,0.012,0.007,0.003,0.007,0.014,0.009,0.004,-0.001,-0.003,0.018,0.028,0.036,0.033,0.03,0.027,0.032,0.028,0.026
USA,USA,0.017,0.012,0.014,0.014,0.021,0.021,0.026,0.028,0.034,0.031,0.029,0.03,0.03,0.031,0.026,0.02,0.018,0.021,0.021,0.022,0.021,0.021,0.014,0.013,0.02,0.024,0.023,0.022,0.02,0.021,0.022,0.019,0.024,0.023,0.019,0.017,0.018,0.018,0.018,0.019,0.022
Venezuela,VEN,0.026,0.016,0.013,0.014,0.013,0.012,0.006,-0.001,0.004,0.003,0.01,0.015,0.012,0.015,0.009,0.006,0.012,0.013,0.009,0.006,-0.005,-0.006,-0.009,-0.019,-0.02,-0.02,-0.022,-0.024,-0.02,-0.03,-0.02,-0.01,-0.001,0.004,0,0.004,-0.001,0.003,-0.002,0.002,0.001
Vietnam,VNM,0.02,0.018,0.025,0.022,0.02,0.016,0.012,-0.006,-0.011,-0.007,-0.008,-0.007,-0.01,-0.005,-0.013,-0.021,-0.006,0.011,0.014,0.007,0.003,0.002,0.001,0,0.013,0.027,0.014,0.014,0.019,0.023,0.031,0.033,0.034,0.037,0.037,0.041,0.048,0.054,0.054,0.056,0.058
Yemen ,YEM,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.025,0.038,0.044,0.052,0.055,0.06,0.071,0.078,0.083,0.085,0.064,0.053,0.046,0.039,0.036,0.027,0.014,0.008,0.003,0,-0.001,-0.002,0.004,0.001,0.003,0.009,0.012,0.013,0.015,0.015,0.022
Zambia ,ZMB,0.038,0.032,0.024,0.02,0.026,0.045,0.028,0.031,0.035,0.014,0.011,0.011,0.02,0.016,0.011,-0.01,0.001,-0.011,-0.012,-0.015,-0.016,-0.011,-0.023,-0.025,-0.033,-0.028,-0.034,-0.027,-0.022,-0.018,-0.012,-0.018,-0.013,-0.01,-0.022,-0.026,-0.019,-0.018,-0.025,-0.024,-0.029
Zimbabwe,ZWE,0.03,0.028,0.026,0.017,0.021,0.02,0.008,0.009,0.01,0.016,0.032,0.035,0.042,0.047,0.041,0.036,0.034,0.019,0.021,0.011,0.001,0.004,-0.001,-0.004,-0.01,-0.005,-0.003,0.003,0.007,0.012,0.005,0,-0.011,-0.009,0.001,-0.002,0.007,0.012,0.006,-0.002,-0.01
